split,quintile,count,avg_pred_mean_mu_excess,avg_future_mean_excess_return
train,1,318,-0.00028155566231838466,-0.0007729113906569473
train,2,318,5.1996085266951894e-05,-0.00035978827623659555
train,3,318,0.00023791399132860717,4.3031299376167935e-05
train,4,318,0.0004125347518991564,0.00021753940298701007
train,5,319,0.0007936262351130463,0.0005388179985052734
val,1,73,-0.00018254990139796192,0.0001164855271642263
val,2,73,-6.456299165330921e-06,0.0002443038342167222
val,3,73,0.00010702964674063301,0.0001899097997388834
val,4,73,0.0002112767237861862,0.00013049271980563126
val,5,74,0.00033067080429599583,0.00022612460531249025
test,1,61,-0.0006487402227120219,-0.0007622317717140409
test,2,61,-9.791806527181724e-05,-0.0004676700399875349
test,3,62,8.240362887994118e-05,-0.0007100716451437588
test,4,61,0.0002884229176405371,-0.0003969084141917953
test,5,62,0.0008725216171552244,0.0001669771549941991
